Timestamp,Consumer,Consumption
2025-06-01 11:00:00,Consumer 1,103.32
2025-06-01 11:00:00,Consumer 2,100.55
2025-06-01 11:00:00,Consumer 3,0.0
2025-06-01 11:00:00,Consumer 5,160.44
2025-06-01 12:00:00,Consumer 1,155.03
2025-06-01 12:00:00,Consumer 2,50.59
2025-06-01 12:00:00,Consumer 3,0.61
2025-06-01 12:00:00,Consumer 4,107.08
2025-06-01 12:00:00,Consumer 5,174.94
2025-06-01 13:00:00,Consumer 1,157.2
2025-06-01 13:00:00,Consumer 2,7.38
2025-06-01 13:00:00,Consumer 3,0.0
2025-06-01 13:00:00,Consumer 4,134.49
2025-06-01 13:00:00,Consumer 5,123.76
2025-06-01 14:00:00,Consumer 1,214.4
2025-06-01 14:00:00,Consumer 2,3.56
2025-06-01 14:00:00,Consumer 3,0.0
2025-06-01 14:00:00,Consumer 4,135.94
2025-06-01 14:00:00,Consumer 5,174.34
2025-06-01 15:00:00,Consumer 1,212.25
2025-06-01 15:00:00,Consumer 2,0.75
2025-06-01 15:00:00,Consumer 3,3.43
2025-06-01 15:00:00,Consumer 4,101.5
2025-06-01 16:00:00,Consumer 1,210.67
2025-06-01 16:00:00,Consumer 2,0.7
2025-06-01 16:00:00,Consumer 3,21.15
2025-06-01 16:00:00,Consumer 4,115.5
2025-06-01 16:00:00,Consumer 5,176.89
2025-06-01 17:00:00,Consumer 2,0.69
2025-06-01 17:00:00,Consumer 3,27.54
2025-06-01 17:00:00,Consumer 5,151.2
2025-06-01 18:00:00,Consumer 1,194.77
2025-06-01 18:00:00,Consumer 4,108.01
2025-06-01 18:00:00,Consumer 5,144.07
2025-06-01 19:00:00,Consumer 1,228.43
2025-06-01 19:00:00,Consumer 2,66.39
2025-06-01 19:00:00,Consumer 3,28.4
2025-06-01 19:00:00,Consumer 4,105.12
2025-06-01 19:00:00,Consumer 5,98.02
2025-06-01 20:00:00,Consumer 1,224.86
2025-06-01 20:00:00,Consumer 2,74.82
2025-06-01 20:00:00,Consumer 3,27.0
2025-06-01 20:00:00,Consumer 4,97.91
2025-06-01 20:00:00,Consumer 5,64.39
2025-06-01 21:00:00,Consumer 1,219.79
2025-06-01 21:00:00,Consumer 2,74.36
2025-06-01 21:00:00,Consumer 3,26.98
2025-06-01 21:00:00,Consumer 4,85.75
2025-06-01 21:00:00,Consumer 5,59.54
2025-06-01 22:00:00,Consumer 1,191.74
2025-06-01 22:00:00,Consumer 2,97.65
2025-06-01 22:00:00,Consumer 3,26.62
2025-06-01 22:00:00,Consumer 4,88.06
2025-06-01 22:00:00,Consumer 5,63.22
2025-06-01 23:00:00,Consumer 1,205.52
2025-06-01 23:00:00,Consumer 2,94.18
2025-06-01 23:00:00,Consumer 3,25.04
2025-06-01 23:00:00,Consumer 4,99.58
2025-06-01 23:00:00,Consumer 5,64.65
2025-06-02 00:00:00,Consumer 1,210.49
2025-06-02 00:00:00,Consumer 2,99.32
2025-06-02 00:00:00,Consumer 3,24.96
2025-06-02 00:00:00,Consumer 4,90.56
2025-06-02 00:00:00,Consumer 5,77.67
2025-06-02 01:00:00,Consumer 1,204.62
2025-06-02 01:00:00,Consumer 2,103.37
2025-06-02 01:00:00,Consumer 3,25.14
2025-06-02 01:00:00,Consumer 4,63.37
2025-06-02 01:00:00,Consumer 5,74.78
2025-06-02 02:00:00,Consumer 1,152.33
2025-06-02 02:00:00,Consumer 2,103.65
2025-06-02 02:00:00,Consumer 3,25.39
2025-06-02 02:00:00,Consumer 4,58.36
2025-06-02 02:00:00,Consumer 5,75.4
2025-06-02 03:00:00,Consumer 1,143.58
2025-06-02 03:00:00,Consumer 2,104.19
2025-06-02 03:00:00,Consumer 3,25.04
2025-06-02 03:00:00,Consumer 4,87.7
2025-06-02 04:00:00,Consumer 1,141.19
2025-06-02 04:00:00,Consumer 2,111.76
2025-06-02 04:00:00,Consumer 3,24.01
2025-06-02 04:00:00,Consumer 4,114.12
2025-06-02 04:00:00,Consumer 5,103.13
2025-06-02 05:00:00,Consumer 1,150.55
2025-06-02 05:00:00,Consumer 2,113.08
2025-06-02 05:00:00,Consumer 3,22.43
2025-06-02 05:00:00,Consumer 5,107.35
2025-06-02 06:00:00,Consumer 3,16.92
2025-06-02 06:00:00,Consumer 4,123.88
2025-06-02 06:00:00,Consumer 5,101.65
2025-06-02 07:00:00,Consumer 1,108.25
2025-06-02 07:00:00,Consumer 2,75.25
2025-06-02 07:00:00,Consumer 3,9.48
2025-06-02 07:00:00,Consumer 4,138.75
2025-06-02 07:00:00,Consumer 5,118.57
2025-06-02 08:00:00,Consumer 1,115.9
2025-06-02 08:00:00,Consumer 3,35.97
2025-06-02 08:00:00,Consumer 4,136.4
2025-06-02 08:00:00,Consumer 5,151.99
2025-06-02 09:00:00,Consumer 1,143.03
2025-06-02 09:00:00,Consumer 2,48.54
2025-06-02 09:00:00,Consumer 4,136.86
2025-06-02 10:00:00,Consumer 1,144.4
2025-06-02 10:00:00,Consumer 2,73.94
2025-06-02 10:00:00,Consumer 3,214.86
2025-06-02 10:00:00,Consumer 4,125.14
2025-06-02 10:00:00,Consumer 5,167.39
2025-06-02 11:00:00,Consumer 1,136.18
2025-06-02 11:00:00,Consumer 2,2.63
2025-06-02 11:00:00,Consumer 3,225.29
2025-06-02 11:00:00,Consumer 5,178.08
2025-06-02 12:00:00,Consumer 1,86.57
2025-06-02 12:00:00,Consumer 2,0.75
2025-06-02 12:00:00,Consumer 3,223.02
2025-06-02 12:00:00,Consumer 4,128.93
2025-06-02 12:00:00,Consumer 5,147.26
2025-06-02 13:00:00,Consumer 1,134.53
2025-06-02 13:00:00,Consumer 2,0.78
2025-06-02 13:00:00,Consumer 3,186.28
2025-06-02 13:00:00,Consumer 4,90.63
2025-06-02 13:00:00,Consumer 5,132.31
2025-06-02 14:00:00,Consumer 1,136.77
2025-06-02 14:00:00,Consumer 2,0.12
2025-06-02 14:00:00,Consumer 3,186.24
2025-06-02 14:00:00,Consumer 4,106.85
2025-06-02 14:00:00,Consumer 5,166.82
2025-06-02 15:00:00,Consumer 1,144.66
2025-06-02 15:00:00,Consumer 2,0.19
2025-06-02 15:00:00,Consumer 3,205.22
2025-06-02 15:00:00,Consumer 4,103.68
2025-06-02 16:00:00,Consumer 1,152.93
2025-06-02 16:00:00,Consumer 2,1.32
2025-06-02 16:00:00,Consumer 3,215.51
2025-06-02 16:00:00,Consumer 4,96.89
2025-06-02 16:00:00,Consumer 5,211.85
2025-06-02 17:00:00,Consumer 2,1.42
2025-06-02 17:00:00,Consumer 3,210.37
2025-06-02 17:00:00,Consumer 5,227.96
2025-06-02 18:00:00,Consumer 1,146.84
2025-06-02 18:00:00,Consumer 4,106.19
2025-06-02 18:00:00,Consumer 5,238.3
2025-06-02 19:00:00,Consumer 1,147.09
2025-06-02 19:00:00,Consumer 2,1.26
2025-06-02 19:00:00,Consumer 3,51.81
2025-06-02 19:00:00,Consumer 4,106.13
2025-06-02 19:00:00,Consumer 5,210.42
2025-06-02 20:00:00,Consumer 1,129.28
2025-06-02 20:00:00,Consumer 2,1.33
2025-06-02 20:00:00,Consumer 3,36.48
2025-06-02 20:00:00,Consumer 4,105.86
2025-06-02 20:00:00,Consumer 5,178.4
2025-06-02 21:00:00,Consumer 1,143.29
2025-06-02 21:00:00,Consumer 2,1.3
2025-06-02 21:00:00,Consumer 3,28.65
2025-06-02 21:00:00,Consumer 4,103.61
2025-06-02 21:00:00,Consumer 5,188.22
2025-06-02 22:00:00,Consumer 1,145.02
2025-06-02 22:00:00,Consumer 2,1.25
2025-06-02 22:00:00,Consumer 3,26.29
2025-06-02 22:00:00,Consumer 4,100.29
2025-06-02 22:00:00,Consumer 5,194.0
2025-06-02 23:00:00,Consumer 1,146.85
2025-06-02 23:00:00,Consumer 2,1.31
2025-06-02 23:00:00,Consumer 3,26.0
2025-06-02 23:00:00,Consumer 4,97.85
2025-06-02 23:00:00,Consumer 5,158.52
2025-06-03 00:00:00,Consumer 1,153.46
2025-06-03 00:00:00,Consumer 2,1.41
2025-06-03 00:00:00,Consumer 3,25.59
2025-06-03 00:00:00,Consumer 4,97.56
2025-06-03 00:00:00,Consumer 5,172.09
2025-06-03 01:00:00,Consumer 1,155.81
2025-06-03 01:00:00,Consumer 2,1.41
2025-06-03 01:00:00,Consumer 3,25.6
2025-06-03 01:00:00,Consumer 4,114.64
2025-06-03 01:00:00,Consumer 5,161.0
2025-06-03 02:00:00,Consumer 1,152.55
2025-06-03 02:00:00,Consumer 2,1.36
2025-06-03 02:00:00,Consumer 3,25.9
2025-06-03 02:00:00,Consumer 4,111.74
2025-06-03 02:00:00,Consumer 5,177.57
2025-06-03 03:00:00,Consumer 1,149.33
2025-06-03 03:00:00,Consumer 2,1.38
2025-06-03 03:00:00,Consumer 3,27.03
2025-06-03 03:00:00,Consumer 4,109.06
2025-06-03 04:00:00,Consumer 1,192.61
2025-06-03 04:00:00,Consumer 2,1.36
2025-06-03 04:00:00,Consumer 3,25.8
2025-06-03 04:00:00,Consumer 4,109.33
2025-06-03 04:00:00,Consumer 5,164.19
2025-06-03 05:00:00,Consumer 1,216.98
2025-06-03 05:00:00,Consumer 2,1.06
2025-06-03 05:00:00,Consumer 3,24.53
2025-06-03 05:00:00,Consumer 5,177.89
2025-06-03 06:00:00,Consumer 3,18.76
2025-06-03 06:00:00,Consumer 4,123.33
2025-06-03 06:00:00,Consumer 5,182.86
2025-06-03 07:00:00,Consumer 1,217.38
2025-06-03 07:00:00,Consumer 2,0.85
2025-06-03 07:00:00,Consumer 3,11.0
2025-06-03 07:00:00,Consumer 4,153.71
2025-06-03 07:00:00,Consumer 5,191.38
2025-06-03 08:00:00,Consumer 1,217.21
2025-06-03 08:00:00,Consumer 3,31.89
2025-06-03 08:00:00,Consumer 4,145.63
2025-06-03 08:00:00,Consumer 5,205.08
2025-06-03 09:00:00,Consumer 1,194.94
2025-06-03 09:00:00,Consumer 2,0.93
2025-06-03 09:00:00,Consumer 4,123.09
2025-06-03 10:00:00,Consumer 1,205.09
2025-06-03 10:00:00,Consumer 2,0.96
2025-06-03 10:00:00,Consumer 3,213.28
2025-06-03 10:00:00,Consumer 4,140.89
2025-06-03 10:00:00,Consumer 5,273.49
2025-06-03 11:00:00,Consumer 1,202.54
2025-06-03 11:00:00,Consumer 2,0.92
2025-06-03 11:00:00,Consumer 3,207.95
2025-06-03 11:00:00,Consumer 5,267.02
2025-06-03 12:00:00,Consumer 1,207.09
2025-06-03 12:00:00,Consumer 2,0.93
2025-06-03 12:00:00,Consumer 3,204.16
2025-06-03 12:00:00,Consumer 4,119.54
2025-06-03 12:00:00,Consumer 5,256.45
2025-06-03 13:00:00,Consumer 1,206.79
2025-06-03 13:00:00,Consumer 2,0.95
2025-06-03 13:00:00,Consumer 3,187.23
2025-06-03 13:00:00,Consumer 4,132.01
2025-06-03 13:00:00,Consumer 5,203.58
2025-06-03 14:00:00,Consumer 1,204.94
2025-06-03 14:00:00,Consumer 2,0.8
2025-06-03 14:00:00,Consumer 3,188.72
2025-06-03 14:00:00,Consumer 4,125.75
2025-06-03 14:00:00,Consumer 5,244.9
2025-06-03 15:00:00,Consumer 1,170.03
2025-06-03 15:00:00,Consumer 2,0.76
2025-06-03 15:00:00,Consumer 3,212.93
2025-06-03 15:00:00,Consumer 4,104.56
2025-06-03 16:00:00,Consumer 1,214.72
2025-06-03 16:00:00,Consumer 2,1.49
2025-06-03 16:00:00,Consumer 3,203.44
2025-06-03 16:00:00,Consumer 4,96.95
2025-06-03 16:00:00,Consumer 5,255.74
2025-06-03 17:00:00,Consumer 2,0.79
2025-06-03 17:00:00,Consumer 3,190.39
2025-06-03 17:00:00,Consumer 5,246.98
2025-06-03 18:00:00,Consumer 1,178.78
2025-06-03 18:00:00,Consumer 4,117.07
2025-06-03 18:00:00,Consumer 5,261.75
2025-06-03 19:00:00,Consumer 1,225.75
2025-06-03 19:00:00,Consumer 2,1.06
2025-06-03 19:00:00,Consumer 3,57.55
2025-06-03 19:00:00,Consumer 4,115.23
2025-06-03 19:00:00,Consumer 5,224.26
2025-06-03 20:00:00,Consumer 1,220.85
2025-06-03 20:00:00,Consumer 2,1.13
2025-06-03 20:00:00,Consumer 3,36.91
2025-06-03 20:00:00,Consumer 4,114.48
2025-06-03 20:00:00,Consumer 5,184.13
2025-06-03 21:00:00,Consumer 1,220.38
2025-06-03 21:00:00,Consumer 2,1.09
2025-06-03 21:00:00,Consumer 3,31.96
2025-06-03 21:00:00,Consumer 4,104.44
2025-06-03 21:00:00,Consumer 5,185.76
2025-06-03 22:00:00,Consumer 1,220.04
2025-06-03 22:00:00,Consumer 2,1.08
2025-06-03 22:00:00,Consumer 3,29.58
2025-06-03 22:00:00,Consumer 4,100.62
2025-06-03 22:00:00,Consumer 5,182.77
2025-06-03 23:00:00,Consumer 1,218.08
2025-06-03 23:00:00,Consumer 2,1.16
2025-06-03 23:00:00,Consumer 3,30.66
2025-06-03 23:00:00,Consumer 4,87.23
2025-06-03 23:00:00,Consumer 5,174.48
2025-06-04 00:00:00,Consumer 1,214.29
2025-06-04 00:00:00,Consumer 2,1.12
2025-06-04 00:00:00,Consumer 3,30.28
2025-06-04 00:00:00,Consumer 4,76.94
2025-06-04 00:00:00,Consumer 5,174.79
2025-06-04 01:00:00,Consumer 1,212.85
2025-06-04 01:00:00,Consumer 2,1.2
2025-06-04 01:00:00,Consumer 3,32.28
2025-06-04 01:00:00,Consumer 4,65.49
2025-06-04 01:00:00,Consumer 5,154.48
2025-06-04 02:00:00,Consumer 1,217.69
2025-06-04 02:00:00,Consumer 2,1.14
2025-06-04 02:00:00,Consumer 3,33.26
2025-06-04 02:00:00,Consumer 4,54.76
2025-06-04 02:00:00,Consumer 5,174.55
2025-06-04 03:00:00,Consumer 1,228.88
2025-06-04 03:00:00,Consumer 2,1.04
2025-06-04 03:00:00,Consumer 3,30.45
2025-06-04 03:00:00,Consumer 4,42.62
2025-06-04 04:00:00,Consumer 1,225.49
2025-06-04 04:00:00,Consumer 2,1.18
2025-06-04 04:00:00,Consumer 3,30.56
2025-06-04 04:00:00,Consumer 4,57.77
2025-06-04 04:00:00,Consumer 5,176.04
2025-06-04 05:00:00,Consumer 1,222.12
2025-06-04 05:00:00,Consumer 2,0.81
2025-06-04 05:00:00,Consumer 3,27.19
2025-06-04 05:00:00,Consumer 5,157.75
2025-06-04 06:00:00,Consumer 3,21.19
2025-06-04 06:00:00,Consumer 4,122.19
2025-06-04 06:00:00,Consumer 5,108.46
2025-06-04 07:00:00,Consumer 1,217.32
2025-06-04 07:00:00,Consumer 2,0.58
2025-06-04 07:00:00,Consumer 3,13.93
2025-06-04 07:00:00,Consumer 4,144.16
2025-06-04 07:00:00,Consumer 5,113.63
2025-06-04 08:00:00,Consumer 1,216.87
2025-06-04 08:00:00,Consumer 3,30.02
2025-06-04 08:00:00,Consumer 4,94.42
2025-06-04 08:00:00,Consumer 5,110.84
2025-06-04 09:00:00,Consumer 1,221.04
2025-06-04 09:00:00,Consumer 2,0.67
2025-06-04 09:00:00,Consumer 4,120.62
2025-06-04 10:00:00,Consumer 1,219.57
2025-06-04 10:00:00,Consumer 2,0.64
2025-06-04 10:00:00,Consumer 3,199.97
2025-06-04 10:00:00,Consumer 4,137.4
2025-06-04 10:00:00,Consumer 5,202.75
2025-06-04 11:00:00,Consumer 1,216.72
2025-06-04 11:00:00,Consumer 2,0.64
2025-06-04 11:00:00,Consumer 3,218.55
2025-06-04 11:00:00,Consumer 5,182.41
2025-06-04 12:00:00,Consumer 1,216.02
2025-06-04 12:00:00,Consumer 2,0.7
2025-06-04 12:00:00,Consumer 3,205.45
2025-06-04 12:00:00,Consumer 4,129.63
2025-06-04 12:00:00,Consumer 5,196.38
2025-06-04 13:00:00,Consumer 1,221.12
2025-06-04 13:00:00,Consumer 2,0.79
2025-06-04 13:00:00,Consumer 3,195.02
2025-06-04 13:00:00,Consumer 4,118.07
2025-06-04 13:00:00,Consumer 5,117.4
2025-06-04 14:00:00,Consumer 1,202.97
2025-06-04 14:00:00,Consumer 2,0.64
2025-06-04 14:00:00,Consumer 3,199.33
2025-06-04 14:00:00,Consumer 4,108.31
2025-06-04 14:00:00,Consumer 5,174.15
2025-06-04 15:00:00,Consumer 1,233.79
2025-06-04 15:00:00,Consumer 2,0.62
2025-06-04 15:00:00,Consumer 3,211.9
2025-06-04 15:00:00,Consumer 4,103.5
2025-06-04 16:00:00,Consumer 1,226.04
2025-06-04 16:00:00,Consumer 2,0.56
2025-06-04 16:00:00,Consumer 3,222.34
2025-06-04 16:00:00,Consumer 4,94.98
2025-06-04 16:00:00,Consumer 5,206.96
2025-06-04 17:00:00,Consumer 2,0.41
2025-06-04 17:00:00,Consumer 3,205.92
2025-06-04 17:00:00,Consumer 5,204.46
2025-06-04 18:00:00,Consumer 1,172.35
2025-06-04 18:00:00,Consumer 4,94.92
2025-06-04 18:00:00,Consumer 5,189.09
2025-06-04 19:00:00,Consumer 1,248.29
2025-06-04 19:00:00,Consumer 2,1.07
2025-06-04 19:00:00,Consumer 3,56.35
2025-06-04 19:00:00,Consumer 4,97.07
2025-06-04 19:00:00,Consumer 5,169.85
2025-06-04 20:00:00,Consumer 1,224.62
2025-06-04 20:00:00,Consumer 2,0.97
2025-06-04 20:00:00,Consumer 3,36.24
2025-06-04 20:00:00,Consumer 4,112.58
2025-06-04 20:00:00,Consumer 5,148.08
2025-06-04 21:00:00,Consumer 1,236.27
2025-06-04 21:00:00,Consumer 2,0.96
2025-06-04 21:00:00,Consumer 3,31.15
2025-06-04 21:00:00,Consumer 4,100.32
2025-06-04 21:00:00,Consumer 5,166.25
2025-06-04 22:00:00,Consumer 1,230.32
2025-06-04 22:00:00,Consumer 2,1.03
2025-06-04 22:00:00,Consumer 3,26.56
2025-06-04 22:00:00,Consumer 4,92.07
2025-06-04 22:00:00,Consumer 5,166.44
2025-06-04 23:00:00,Consumer 1,227.75
2025-06-04 23:00:00,Consumer 2,1.12
2025-06-04 23:00:00,Consumer 3,27.4
2025-06-04 23:00:00,Consumer 4,90.28
2025-06-04 23:00:00,Consumer 5,168.82
2025-06-05 00:00:00,Consumer 1,226.65
2025-06-05 00:00:00,Consumer 2,1.21
2025-06-05 00:00:00,Consumer 3,27.09
2025-06-05 00:00:00,Consumer 4,83.81
2025-06-05 00:00:00,Consumer 5,174.33
2025-06-05 01:00:00,Consumer 1,224.72
2025-06-05 01:00:00,Consumer 2,1.14
2025-06-05 01:00:00,Consumer 3,26.35
2025-06-05 01:00:00,Consumer 4,28.55
2025-06-05 01:00:00,Consumer 5,132.48
2025-06-05 02:00:00,Consumer 1,221.13
2025-06-05 02:00:00,Consumer 2,1.22
2025-06-05 02:00:00,Consumer 3,25.4
2025-06-05 02:00:00,Consumer 4,22.81
2025-06-05 02:00:00,Consumer 5,175.95
2025-06-05 03:00:00,Consumer 1,220.34
2025-06-05 03:00:00,Consumer 2,1.14
2025-06-05 03:00:00,Consumer 3,25.04
2025-06-05 03:00:00,Consumer 4,97.48
2025-06-05 04:00:00,Consumer 1,224.45
2025-06-05 04:00:00,Consumer 2,1.19
2025-06-05 04:00:00,Consumer 3,25.88
2025-06-05 04:00:00,Consumer 4,122.83
2025-06-05 04:00:00,Consumer 5,158.96
2025-06-05 05:00:00,Consumer 1,219.7
2025-06-05 05:00:00,Consumer 2,0.8
2025-06-05 05:00:00,Consumer 3,26.6
2025-06-05 05:00:00,Consumer 5,192.71
2025-06-05 06:00:00,Consumer 3,15.6
2025-06-05 06:00:00,Consumer 4,118.7
2025-06-05 06:00:00,Consumer 5,160.92
2025-06-05 07:00:00,Consumer 1,219.02
2025-06-05 07:00:00,Consumer 2,0.63
2025-06-05 07:00:00,Consumer 3,11.46
2025-06-05 07:00:00,Consumer 4,142.03
2025-06-05 07:00:00,Consumer 5,172.81
2025-06-05 08:00:00,Consumer 1,220.24
2025-06-05 08:00:00,Consumer 3,38.12
2025-06-05 08:00:00,Consumer 4,138.71
2025-06-05 08:00:00,Consumer 5,150.03
2025-06-05 09:00:00,Consumer 1,214.61
2025-06-05 09:00:00,Consumer 2,0.73
2025-06-05 09:00:00,Consumer 4,123.01
2025-06-05 10:00:00,Consumer 1,212.61
2025-06-05 10:00:00,Consumer 2,0.73
2025-06-05 10:00:00,Consumer 3,200.18
2025-06-05 10:00:00,Consumer 4,85.13
2025-06-05 10:00:00,Consumer 5,183.83
2025-06-05 11:00:00,Consumer 1,211.61
2025-06-05 11:00:00,Consumer 2,0.64
2025-06-05 11:00:00,Consumer 3,222.99
2025-06-05 11:00:00,Consumer 5,217.99
2025-06-05 12:00:00,Consumer 1,209.9
2025-06-05 12:00:00,Consumer 2,0.68
2025-06-05 12:00:00,Consumer 3,206.74
2025-06-05 12:00:00,Consumer 4,101.88
2025-06-05 12:00:00,Consumer 5,196.53
2025-06-05 13:00:00,Consumer 1,209.89
2025-06-05 13:00:00,Consumer 2,0.77
2025-06-05 13:00:00,Consumer 3,193.99
2025-06-05 13:00:00,Consumer 4,97.58
2025-06-05 13:00:00,Consumer 5,150.18
2025-06-05 14:00:00,Consumer 1,217.67
2025-06-05 14:00:00,Consumer 2,0.68
2025-06-05 14:00:00,Consumer 3,197.97
2025-06-05 14:00:00,Consumer 4,109.16
2025-06-05 14:00:00,Consumer 5,207.85
2025-06-05 15:00:00,Consumer 1,210.82
2025-06-05 15:00:00,Consumer 2,0.67
2025-06-05 15:00:00,Consumer 3,225.11
2025-06-05 15:00:00,Consumer 4,90.66
2025-06-05 16:00:00,Consumer 1,207.38
2025-06-05 16:00:00,Consumer 2,0.62
2025-06-05 16:00:00,Consumer 3,194.27
2025-06-05 16:00:00,Consumer 4,101.52
2025-06-05 16:00:00,Consumer 5,182.74
2025-06-05 17:00:00,Consumer 2,1.86
2025-06-05 17:00:00,Consumer 3,183.65
2025-06-05 17:00:00,Consumer 5,184.4
2025-06-05 18:00:00,Consumer 1,180.82
2025-06-05 18:00:00,Consumer 4,104.05
2025-06-05 18:00:00,Consumer 5,176.16
2025-06-05 19:00:00,Consumer 1,205.04
2025-06-05 19:00:00,Consumer 2,1.22
2025-06-05 19:00:00,Consumer 3,51.07
2025-06-05 19:00:00,Consumer 4,105.36
2025-06-05 19:00:00,Consumer 5,122.99
2025-06-05 20:00:00,Consumer 1,212.06
2025-06-05 20:00:00,Consumer 2,1.27
2025-06-05 20:00:00,Consumer 3,38.36
2025-06-05 20:00:00,Consumer 4,105.29
2025-06-05 20:00:00,Consumer 5,78.06
2025-06-05 21:00:00,Consumer 1,211.43
2025-06-05 21:00:00,Consumer 2,1.3
2025-06-05 21:00:00,Consumer 3,29.03
2025-06-05 21:00:00,Consumer 4,100.02
2025-06-05 21:00:00,Consumer 5,97.87
2025-06-05 22:00:00,Consumer 1,210.38
2025-06-05 22:00:00,Consumer 2,1.3
2025-06-05 22:00:00,Consumer 3,27.49
2025-06-05 22:00:00,Consumer 4,103.43
2025-06-05 22:00:00,Consumer 5,95.1
2025-06-05 23:00:00,Consumer 1,208.52
2025-06-05 23:00:00,Consumer 2,1.35
2025-06-05 23:00:00,Consumer 3,27.88
2025-06-05 23:00:00,Consumer 4,103.14
2025-06-05 23:00:00,Consumer 5,92.57
2025-06-06 00:00:00,Consumer 1,207.31
2025-06-06 00:00:00,Consumer 2,1.39
2025-06-06 00:00:00,Consumer 3,29.19
2025-06-06 00:00:00,Consumer 4,86.27
2025-06-06 00:00:00,Consumer 5,61.18
2025-06-06 01:00:00,Consumer 1,209.85
2025-06-06 01:00:00,Consumer 2,1.48
2025-06-06 01:00:00,Consumer 3,27.86
2025-06-06 01:00:00,Consumer 4,70.76
2025-06-06 01:00:00,Consumer 5,26.25
2025-06-06 02:00:00,Consumer 1,216.49
2025-06-06 02:00:00,Consumer 2,1.45
2025-06-06 02:00:00,Consumer 3,25.77
2025-06-06 02:00:00,Consumer 4,68.03
2025-06-06 02:00:00,Consumer 5,44.72
2025-06-06 03:00:00,Consumer 1,216.0
2025-06-06 03:00:00,Consumer 2,1.49
2025-06-06 03:00:00,Consumer 3,25.86
2025-06-06 03:00:00,Consumer 4,92.95
2025-06-06 04:00:00,Consumer 1,212.31
2025-06-06 04:00:00,Consumer 2,1.38
2025-06-06 04:00:00,Consumer 3,25.88
2025-06-06 04:00:00,Consumer 4,124.27
2025-06-06 04:00:00,Consumer 5,53.63
2025-06-06 05:00:00,Consumer 1,207.54
2025-06-06 05:00:00,Consumer 2,1.02
2025-06-06 05:00:00,Consumer 3,26.17
2025-06-06 05:00:00,Consumer 5,90.46
2025-06-06 06:00:00,Consumer 3,19.31
2025-06-06 06:00:00,Consumer 4,125.21
2025-06-06 06:00:00,Consumer 5,95.5
2025-06-06 07:00:00,Consumer 1,168.48
2025-06-06 07:00:00,Consumer 2,38.54
2025-06-06 07:00:00,Consumer 3,14.38
2025-06-06 07:00:00,Consumer 4,148.66
2025-06-06 07:00:00,Consumer 5,95.08
2025-06-06 08:00:00,Consumer 1,1.0
2025-06-06 08:00:00,Consumer 3,38.81
2025-06-06 08:00:00,Consumer 4,140.07
2025-06-06 08:00:00,Consumer 5,72.78
2025-06-06 09:00:00,Consumer 1,0.0
2025-06-06 09:00:00,Consumer 2,38.31
2025-06-06 09:00:00,Consumer 4,119.87
2025-06-06 10:00:00,Consumer 1,0.0
2025-06-06 10:00:00,Consumer 2,43.27
2025-06-06 10:00:00,Consumer 3,223.74
2025-06-06 10:00:00,Consumer 4,130.92
